               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099706,            0.027505,            0.050351,             0.70417,            0.062745,            0.046049,            0.013423,            0.082149,            0.014622,            0.041453,            0.070265,           0.0033038,           0.0033038
                   1,            0.071502,            0.030505,            0.026138,             0.20876,              0.3708,             0.24418,            0.079699,            0.067894,            0.013744,            0.015583,            0.040249,           0.0066207,           0.0066207
                   2,            0.065824,              0.0279,            0.013231,              0.6487,             0.32601,             0.34206,             0.14202,            0.061568,            0.013086,            0.025957,            0.010216,           0.0099211,           0.0099211
                   3,            0.061516,            0.027663,            0.009347,             0.33843,             0.50381,             0.36767,             0.13854,             0.06355,            0.012895,             0.00845,           0.0099258,           0.0099258,           0.0099258
                   4,            0.056737,            0.027616,           0.0071253,             0.47264,             0.44846,             0.42397,             0.18041,            0.057912,            0.014286,             0.02061,           0.0099258,           0.0099258,           0.0099258
                   5,            0.054651,            0.027594,           0.0065723,             0.45172,             0.47694,             0.44918,             0.20563,            0.057595,            0.013299,           0.0042818,            0.009901,            0.009901,            0.009901
                   6,            0.052329,             0.02743,           0.0062958,             0.58669,              0.6569,             0.64335,             0.31585,            0.045779,            0.012133,           0.0053124,           0.0098763,           0.0098763,           0.0098763
                   7,            0.050617,            0.027287,           0.0054659,                0.57,             0.56162,             0.59349,             0.26319,            0.050829,            0.011986,            0.013657,           0.0098515,           0.0098515,           0.0098515
                   8,            0.049394,            0.027166,           0.0051436,             0.54909,             0.51582,             0.49172,             0.20894,            0.055544,            0.012749,           0.0062061,           0.0098268,           0.0098268,           0.0098268
                   9,            0.048701,            0.026934,           0.0048635,             0.56243,              0.5947,             0.59112,             0.25417,            0.051618,            0.012969,            0.005082,            0.009802,            0.009802,            0.009802
                  10,            0.047716,            0.026588,           0.0044067,             0.51927,             0.52426,             0.53912,             0.23589,            0.053751,            0.012663,           0.0053348,           0.0097773,           0.0097773,           0.0097773
                  11,            0.046739,            0.026694,            0.004298,             0.67429,             0.60257,             0.64909,             0.30444,            0.046193,            0.012204,           0.0035777,           0.0097525,           0.0097525,           0.0097525
                  12,            0.047158,            0.026721,           0.0040885,             0.64183,             0.68581,             0.68769,             0.35363,            0.043024,            0.011866,           0.0028915,           0.0097278,           0.0097278,           0.0097278
                  13,            0.047142,              0.0262,           0.0037866,             0.63226,              0.5779,             0.61437,             0.29401,            0.049506,              0.0124,           0.0066477,            0.009703,            0.009703,            0.009703
                  14,            0.045967,            0.026276,           0.0037989,             0.71594,             0.67782,              0.7252,             0.36358,            0.041269,            0.011241,           0.0036691,           0.0096783,           0.0096783,           0.0096783
                  15,            0.045084,            0.025726,           0.0038302,             0.64714,             0.69285,             0.71646,             0.36292,            0.041842,            0.011631,            0.003681,           0.0096535,           0.0096535,           0.0096535
                  16,            0.045044,             0.02669,           0.0036663,             0.61001,             0.62833,              0.6219,             0.29653,            0.049291,            0.012034,            0.002415,           0.0096288,           0.0096288,           0.0096288
                  17,             0.04475,            0.025694,           0.0035254,             0.66659,             0.65555,             0.70121,             0.35965,            0.041394,            0.011384,           0.0036946,            0.009604,            0.009604,            0.009604
                  18,             0.04494,            0.026317,           0.0035086,             0.68676,             0.69795,             0.72452,             0.35455,            0.042213,            0.011285,           0.0028583,           0.0095793,           0.0095793,           0.0095793
                  19,            0.044277,            0.025351,           0.0033982,             0.64153,             0.67282,             0.68766,              0.3508,            0.042532,            0.011178,            0.001629,           0.0095545,           0.0095545,           0.0095545
                  20,            0.043838,            0.025934,           0.0032682,             0.74264,             0.69261,             0.74723,             0.39555,            0.038841,            0.011139,           0.0017539,           0.0095298,           0.0095298,           0.0095298
                  21,            0.043846,             0.02593,           0.0033012,             0.72141,             0.70386,             0.74815,              0.3803,            0.040021,            0.011234,            0.002198,            0.009505,            0.009505,            0.009505
                  22,            0.044042,            0.025854,           0.0030094,             0.71027,             0.71874,             0.76879,             0.41001,            0.038162,            0.010904,           0.0013421,           0.0094803,           0.0094803,           0.0094803
                  23,            0.043692,            0.025996,           0.0029819,             0.68647,              0.7154,             0.73196,             0.37978,            0.041413,            0.011113,           0.0017991,           0.0094555,           0.0094555,           0.0094555
                  24,            0.042983,            0.025982,           0.0030128,             0.62868,             0.71105,             0.71747,              0.3648,            0.039893,            0.011716,           0.0016959,           0.0094307,           0.0094307,           0.0094307
                  25,             0.04302,             0.02551,           0.0027474,             0.71082,             0.70136,             0.75206,             0.37759,            0.041132,            0.011498,           0.0015339,            0.009406,            0.009406,            0.009406
