               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11528,             0.01956,            0.041336,           0.0028229,             0.72222,            0.017372,           0.0081399,             0.11875,           0.0089927,            0.041558,              0.0982,              0.0002,              0.0002
                   1,              0.1163,             0.02212,            0.039572,           0.0031374,             0.75926,            0.031231,           0.0077802,             0.11667,           0.0091792,            0.041226,            0.095499,           0.0004985,           0.0004985
                   2,             0.11648,            0.019994,            0.040224,           0.0027515,             0.72222,            0.047912,           0.0092321,             0.11367,            0.009464,            0.040775,            0.092795,           0.0007952,           0.0007952
                   3,             0.11282,            0.019482,            0.039853,           0.0030161,             0.75926,            0.013475,           0.0047662,             0.11027,            0.009782,            0.040328,             0.09009,           0.0010901,           0.0010901
                   4,             0.11174,             0.02306,            0.036933,           0.0026475,             0.72222,            0.015161,           0.0043297,             0.10546,            0.010166,            0.039995,            0.087383,           0.0013832,           0.0013832
                   5,             0.10859,            0.019476,            0.035459,           0.0026178,             0.72222,            0.013411,           0.0039208,             0.10212,            0.010386,            0.039426,            0.084674,           0.0016745,           0.0016745
                   6,             0.10546,            0.021015,            0.035333,            0.002022,             0.64815,            0.015027,           0.0059621,             0.10164,            0.010424,             0.03907,            0.081964,            0.001964,            0.001964
                   7,              0.1048,            0.024339,            0.034748,           0.0022929,             0.68519,            0.019115,           0.0066414,            0.099073,            0.010673,            0.038974,            0.079252,           0.0022517,           0.0022517
                   8,             0.10396,            0.020216,            0.032757,           0.0029306,             0.88889,            0.012985,           0.0035038,             0.09471,            0.010864,            0.036061,            0.076538,           0.0025376,           0.0025376
                   9,             0.10042,            0.026674,              0.0303,            0.002921,             0.88889,            0.010522,           0.0035773,            0.093094,            0.011298,            0.035391,            0.073822,           0.0028217,           0.0028217
                  10,            0.096701,            0.025044,            0.030477,            0.002774,             0.75926,            0.031104,             0.01004,            0.092144,            0.011802,            0.037177,            0.071104,            0.003104,            0.003104
